id,gp,minutes,pts,reb,asts,stl,blk,turnover,pf,fga,fgm,fta,ftm,tpa,tpm
Kevin McHale,971,30118,17335,7122,1670,344,1690,1893,2758,12334,6830,4554,3634,157,41
Derrick McKey,937,27233,10266,4387,2254,1072,611,1713,2700,8048,3908,2885,2247,642,203
George Mikan,439,8350,10156,4167,1245,0,0,0,1862,8783,3544,3924,3068,0,0
Vern Mikkelsen,699,18443,10063,5940,1515,0,0,0,2812,8812,3547,3874,2969,0,0
Andre Miller,815,28459,11896,3433,6020,1121,172,2199,2026,9541,4388,3742,3002,561,118
Reggie Miller,1389,47622,25279,4182,4141,1505,299,2409,2730,17499,8241,7026,6237,6486,2560
Mike Mitchell,759,24537,15016,4246,1010,530,400,1300,2012,12912,6371,2894,2255,88,19
Cuttino Mobley,747,27609,11964,2902,2015,878,313,1520,1709,9978,4319,2684,2241,2867,1085
Sidney Moncrief,767,23150,11931,3575,2793,924,226,1551,1635,8198,4117,4319,3587,387,110
Earl Monroe,926,29636,17454,2796,3594,473,121,305,2416,14898,6906,4513,3642,0,0
Alonzo Mourning,838,25971,14309,7138,946,414,2356,2208,2809,9701,5116,5860,4055,89,22
Chris Mullin,986,32162,17911,4034,3450,1530,549,2315,2050,13243,6740,4178,3616,2120,815
Jeff Mullins,802,24574,13017,3427,3023,140,37,0,2165,11631,5383,2764,2251,0,0
Calvin Murphy,1002,30607,17949,2103,4402,1165,51,822,3250,15030,7247,3864,3445,72,10
Dikembe Mutombo,1198,36789,11729,12359,1240,494,3291,2173,3383,8045,4169,4960,3391,2,0
Larry Nance,920,30697,15687,7352,2393,872,2027,1711,2703,11664,6370,3892,2939,55,8
Steve Nash,934,29017,13438,2757,7504,734,71,2532,1646,9971,4856,2628,2366,3148,1360
Calvin Natt,599,18818,10291,4070,1306,525,191,1256,1386,7580,4003,2954,2269,73,16
Willie Naulls,716,20620,11305,6508,1114,0,0,0,2216,11145,4526,2774,2253,0,0
Don Nelson,1053,21685,10898,5192,1526,65,35,0,2451,8373,4017,3744,2864,0,0
Mike Newlin,837,24574,12507,2494,3364,702,58,878,2542,10133,4720,3456,3005,205,62
Johnny Newman,1159,28435,12740,2536,1688,1064,246,1656,3199,9671,4456,3984,3228,1786,600
Norm Nixon,768,27250,12065,1991,6386,1187,71,2368,1983,10805,5219,1978,1527,340,100
